id,prenom,nom,sexe,sortante,circonscription,parti,dissidence,lien,twitter
7469,Isabelle,Santiago,femme,checked,094-09,PS,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/vague1_investitures_ps_nupes-896b6d8e81644c90819c172aea1049b5.pdf,https://twitter.com/isasantiago_94
7467,Michèle,Bonhomme-Afflatet,femme,,094-09,LR,,https://republicains.fr/actualites/2021/12/17/decision-de-la-commission-nationale-dinvestiture-4/,
7468,Emmanuel,Ollivier,homme,,094-09,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7593,Jonathan,Rosemblum,homme,,094-09,LRM,,,
8131,Wenqi,Ghaye,femme,,094-09,RN,,https://rassemblementnational.fr/elections-legislatives/,
7472,César,Courant,homme,,094-10,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7470,Yamina,Amzal,femme,,094-10,LR,,https://republicains.fr/actualites/2021/12/17/decision-de-la-commission-nationale-dinvestiture-4/,
7473,Philippe,Hardouin,homme,,094-10,LRM,,https://nos-candidats.avecvous.fr/Dossier-presse-Vague-1.pdf,
7471,Mathilde,Panot,femme,checked,094-10,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,https://twitter.com/MathildePanot
8132,Elise,Yang,femme,,094-10,RN,,https://rassemblementnational.fr/elections-legislatives/,
7476,Sophie,Taille-Polian,femme,,094-11,Génération·s,,https://twitter.com/GenerationsMvt/status/1523650256302669825,https://twitter.com/STaillePolian
7475,Jocelyn-Pierre,Rosaz,homme,,094-11,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7474,Mahrouf,Bounegta,homme,,094-11,LR,,https://republicains.fr/actualites/2021/12/17/decision-de-la-commission-nationale-dinvestiture-4/,
7594,Erwann,Calvez,homme,,094-11,LRM,,,
8133,Martina,Gabelica,femme,,094-11,RN,,https://rassemblementnational.fr/elections-legislatives/,
7478,Émilie,Chandler,femme,,095-01,LRM,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/investis_vague3-ddef82222c9a44b0b69d459d788e9dec.pdf,
7477,Sandrine,Barbier,femme,,095-01,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7479,Leïla,Ivorra,femme,,095-01,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,https://twitter.com/LeilaIvorra
8110,Philippe,Pierre,homme,,095-01,RN,,https://rassemblementnational.fr/elections-legislatives/,
7483,Sylvie,Geoffroy-Martin,femme,,095-02,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,https://twitter.com/95Legiscirco2
7480,Caroline,Berdou,femme,,095-02,LR,,https://republicains.fr/actualites/2021/12/09/decision-de-la-commission-nationale-dinvestiture-3/,
7481,Morgane,Frappa,femme,,095-02,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7482,Guillaume,Vuilletet,homme,checked,095-02,LRM,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/investis_vague3-ddef82222c9a44b0b69d459d788e9dec.pdf,
8111,Nadejda,Remy,femme,,095-02,RN,,https://rassemblementnational.fr/elections-legislatives/,
