id,circonscription,numPanneau,nom,prenom,civilite,codeNuance,libelleNuance
2822,057-01,2,KUNTZ,Malou,Mme,LR,Les Républicains
2823,057-01,3,KADRI,Camal,M.,ECO,Ecologistes
2824,057-01,4,FRICHETEAU,Jessy,Mme,DVG,Divers gauche
2825,057-01,5,LEICK,Esther,Mme,FI,La France Insoumise
2826,057-01,6,LALOUX,Grégoire,M.,RN,Rassemblement National
2827,057-01,7,ROUSSE,Christèle,Mme,DSV,Droite souverainiste
2828,057-01,8,BELHADDAD,Belkhir,M.,ENS,Ensemble ! (Majorité présidentielle)
2829,057-01,9,GEORGET,Didier,M.,DXG,Divers extrême gauche
2830,057-01,10,HADADI,Yoan,M.,DVG,Divers gauche
2831,057-01,11,KONARSKI,Rebecca,Mme,REC,Reconquête !
2832,057-02,1,RINALDI,Mario,M.,DXG,Divers extrême gauche
2833,057-02,2,CONTAL,Aurélie,Mme,ECO,Ecologistes
2834,057-02,3,BAUCHAT,Olivier,M.,RN,Rassemblement National
2835,057-02,4,KURTH,Jean-Jacques,M.,DVG,Divers gauche
2836,057-02,5,LAHORE,Lisa,Mme,FI,La France Insoumise
2837,057-02,6,TEIXEIRA,Quentin,M.,ECO,Ecologistes
2838,057-02,7,SAID,Sandrine,Mme,DIV,Divers
2839,057-02,8,EL BARNOUSSI,Nadia,Mme,DVG,Divers gauche
2840,057-02,9,PITTI,Raphaël,M.,DVG,Divers gauche
2841,057-02,10,MENDES,Ludovic,M.,ENS,Ensemble ! (Majorité présidentielle)
2842,057-02,11,HORY,Thierry,M.,LR,Les Républicains
2843,057-02,12,JACQUES,Jean-François,M.,DSV,Droite souverainiste
2844,057-02,13,MAUSER,Martine,Mme,REC,Reconquête !
2845,057-03,1,LEUCART,Anne-Catherine,Mme,DVC,Divers centre
2846,057-03,2,ZIMMERMANN,Marie-Jo,Mme,DVC,Divers centre
2847,057-03,3,BECHT,Marie Jeanne,Mme,DXG,Divers extrême gauche
2848,057-03,4,BEMER,Christian,M.,REC,Reconquête !
2849,057-03,5,LEDUC,Charlotte,Mme,FI,La France Insoumise
2850,057-03,6,GULINO,Eric,M.,DVG,Divers gauche
2851,057-03,7,JURION,Roxane,Mme,ECO,Ecologistes
2852,057-03,8,COLIN-OESTERLÉ,Nathalie,Mme,LR,Les Républicains
2853,057-03,9,LIOGER,Richard,M.,ENS,Ensemble ! (Majorité présidentielle)
2854,057-03,10,CARRARA,Bernard,M.,DIV,Divers
2855,057-03,11,WAGNER,Marlène,Mme,DSV,Droite souverainiste
2856,057-03,12,HODARA,Etienne,M.,DXG,Divers extrême gauche
2857,057-03,13,DIAFERIA,Gaël,M.,DXG,Divers extrême gauche
2858,057-03,14,GROLET,Françoise,Mme,RN,Rassemblement National
2859,057-04,1,RAMBOUR,Michel,M.,RN,Rassemblement National
2860,057-04,2,GIRARDOT,Hélène,Mme,COM,Parti communiste français
2861,057-04,3,VILAIN,Eric,M.,DSV,Droite souverainiste
2862,057-04,4,VAN DER STRAETEN,Antonin,M.,DSV,Droite souverainiste
2863,057-04,5,BAUD-BERTHIER,Marc,M.,DXG,Divers extrême gauche
2864,057-04,6,KONARSKI,Chloé,Mme,REC,Reconquête !
2865,057-04,7,DI FILIPPO,Fabien,M.,LR,Les Républicains
2866,057-04,8,CRENNER,Emilie,Mme,ENS,Ensemble ! (Majorité présidentielle)
2867,057-05,1,OLLIER,Sébastien,M.,DXG,Divers extrême gauche
2868,057-05,2,TOUSSAINT,Brigitte,Mme,DSV,Droite souverainiste
2869,057-05,3,BOURBEAU,François,M.,DVC,Divers centre
2870,057-05,4,VOINÇON,Marie-Claude,Mme,RN,Rassemblement National
2871,057-05,5,SELLINI,Sabrina,Mme,REC,Reconquête !
2872,057-05,6,TRISSE,Nicole,Mme,ENS,Ensemble ! (Majorité présidentielle)
2873,057-05,7,RACINE,Caroline,Mme,FI,La France Insoumise
2874,057-05,8,SEITLINGER,Vincent,M.,LR,Les Républicains
2875,057-06,1,GREFF OSTERMANN,Monique,Mme,DIV,Divers
2876,057-06,2,MASSING,Ludovic,M.,DIV,Divers
2877,057-06,3,DILIGENT,Eric,M.,REC,Reconquête !
2878,057-06,4,LEGRAND,Lola,Mme,DXG,Divers extrême gauche
2879,057-06,5,MOUYNET,Christophe,M.,DIV,Divers
2880,057-06,6,OUTOMURO,Jonathan,M.,FI,La France Insoumise
2881,057-06,7,PFEFFER,Kévin,M.,RN,Rassemblement National
2882,057-06,8,ASKAL,Abdel,M.,DVG,Divers gauche
2883,057-06,9,AREND,Christophe,M.,ENS,Ensemble ! (Majorité présidentielle)
2884,057-06,10,THIEL,Anthony,M.,SOC,Parti socialiste
2885,057-06,11,AÏT,Saliha,Mme,DVG,Divers gauche
2886,057-06,12,FRIEDRICH,Marc,M.,LR,Les Républicains
2887,057-06,13,PHILIPPOT,Florian,M.,DSV,Droite souverainiste
2888,057-07,1,HOCQUET,Hervé,M.,DSV,Droite souverainiste
2889,057-07,2,GALANTE,Clément,M.,REC,Reconquête !
2890,057-07,3,ZANNIER,Hélène,Mme,ENS,Ensemble ! (Majorité présidentielle)
2891,057-07,4,MULLER,Luc,M.,ECO,Ecologistes
2892,057-07,5,BOUCHER,Anne,Mme,LR,Les Républicains
2893,057-07,6,BOUSSET,Diane,Mme,DXG,Divers extrême gauche
2894,057-07,7,LOUBET,Alexandre,M.,RN,Rassemblement National
2895,057-08,1,LEVECQUE,Anne-Catherine,Mme,DXG,Divers extrême gauche
2896,057-08,2,HAMMOUCHE,Brahim,M.,ENS,Ensemble ! (Majorité présidentielle)
2897,057-08,3,LEGER,Céline,Mme,FI,La France Insoumise
2898,057-08,4,JOLIVET,Annick,Mme,DXG,Divers extrême gauche
2899,057-08,5,JACOBELLI,Laurent,M.,RN,Rassemblement National
2900,057-08,6,OUM,Chariya,Mme,ECO,Ecologistes
2901,057-08,7,ROSA,Raphaëlle,Mme,LR,Les Républicains
2902,057-08,8,DAVID,Claire,Mme,DSV,Droite souverainiste
2903,057-08,9,ANDRÉ,Sébastien,M.,REC,Reconquête !
2904,057-09,1,VAÏSSE,Brigitte,Mme,SOC,Parti socialiste
2905,057-09,2,REICHLING,Stéphane,M.,RN,Rassemblement National
2906,057-09,3,ENGEL,Fred,M.,DIV,Divers
2907,057-09,4,WALLIAN,Aurélie,Mme,REC,Reconquête !
2908,057-09,5,RUTILI,Yan,M.,RDG,Parti radical de gauche
2909,057-09,6,WERCKMANN,Françoise,Mme,ECO,Ecologistes
2910,057-09,7,MAURHOFER,Guy,M.,DXG,Divers extrême gauche
2911,057-09,8,RAUCH,Isabelle,Mme,ENS,Ensemble ! (Majorité présidentielle)
2912,057-09,9,BEY,Laurène,Mme,ECO,Ecologistes
2913,057-09,10,MELLINGER,Marlène,Mme,DSV,Droite souverainiste
2914,057-09,11,BIEDER,Lionel,M.,DVD,Divers droite
2915,057-09,12,GRANDJEAN,Lucas,M.,LR,Les Républicains
2916,058-01,1,PETERS,Michel,M.,DIV,Divers
2917,058-01,2,LEMOINE,Geneviève,Mme,DXG,Divers extrême gauche
2918,058-01,3,IMPENGE,Orny,M.,DVG,Divers gauche
2919,058-01,4,VIGNERON,Pauline,Mme,RN,Rassemblement National
2920,058-01,5,VERDEZ,Bryton,M.,REC,Reconquête !
2921,058-01,6,COUTELLEC,Leo,M.,FI,La France Insoumise
2922,058-01,7,GALLOIS,Charles-Henri,M.,DSV,Droite souverainiste
2923,058-01,8,LE METAYER,François,M.,LR,Les Républicains
2924,058-01,9,GOULET,Perrine,Mme,ENS,Ensemble ! (Majorité présidentielle)
2925,058-02,1,GUILLEMAIN,Marie Anne,Mme,FI,La France Insoumise
2926,058-02,2,DUPUIS,Dominique,M.,DXG,Divers extrême gauche
2927,058-02,3,LEPETIT,Pascal,M.,DSV,Droite souverainiste
2928,058-02,4,MEGY,Heloïse,Mme,ECO,Ecologistes
2929,058-02,5,DENIAUX,Christophe,M.,LR,Les Républicains
2930,058-02,6,PERROT,Patrice,M.,ENS,Ensemble ! (Majorité présidentielle)
2931,058-02,7,GUILLAUME,Marie Joelle,Mme,REC,Reconquête !
2932,058-02,8,GUIBERT,Julien,M.,RN,Rassemblement National
2933,059-01,1,LEFRANCQ,Jonathan,M.,DIV,Divers
2934,059-01,2,RIMLINGER,Mai,Mme,REC,Reconquête !
2935,059-01,3,ALEXANDRE,Audric,M.,DIV,Divers
2936,059-01,4,MADELAIN,Pierre,M.,DXG,Divers extrême gauche
2937,059-01,5,DUHAMEL,Vanessa,Mme,ENS,Ensemble ! (Majorité présidentielle)
2938,059-01,6,LECLERCQ,Carole,Mme,RN,Rassemblement National
2939,059-01,7,GODEST,Constance,Mme,ECO,Ecologistes
2940,059-01,8,CHAOUAT,Frédéric,M.,DIV,Divers
2941,059-01,9,FABRE,Thomas,M.,UDI,Union des Démocrates et des Indépendants
2942,059-01,10,DESMARCHELIER,Hugo,M.,DIV,Divers
2943,059-01,11,QUATENNENS,Adrien,M.,FI,La France Insoumise
2944,059-02,1,BOISARD-VANNIER,Caroline,Mme,LR,Les Républicains
2945,059-02,2,DELEVALLET,Monique,Mme,REC,Reconquête !
2946,059-02,3,KARASIEWICZ,Nicolas,M.,DVC,Divers centre
2947,059-02,4,AASSI,Nordine,M.,DIV,Divers
2948,059-02,5,ROUGÉE,Pascale,Mme,DXG,Divers extrême gauche
2949,059-02,6,CHAUCHOY,Virginie,Mme,ECO,Ecologistes
2950,059-02,7,ELEGEEST,Rudy,M.,ENS,Ensemble ! (Majorité présidentielle)
2951,059-02,8,GUÉRARD,Philippe,M.,RN,Rassemblement National
2952,059-02,9,SAVAGE,Marie,Mme,DXG,Divers extrême gauche
2953,059-02,10,BERNALICIS,Ugo,M.,FI,La France Insoumise
2954,059-03,1,VILLETTE,Sophie,Mme,SOC,Parti socialiste
2955,059-03,2,DEHONDT,Marc,M.,ECO,Ecologistes
2956,059-03,3,SAINT-HUILE,Benjamin,M.,DVG,Divers gauche
2957,059-03,4,WATTIEZ,Jessica,Mme,REC,Reconquête !
2958,059-03,5,RONDEAUX,Marie-Claude,Mme,DXG,Divers extrême gauche
2959,059-03,6,LEBLANC,Nicolas,M.,LR,Les Républicains
2960,059-03,7,DI POMPEO,Christophe,M.,ENS,Ensemble ! (Majorité présidentielle)
2961,059-03,8,DELANNOY,Sandra,Mme,RN,Rassemblement National
2962,059-03,9,SAFAI,Irène,Mme,DSV,Droite souverainiste
2963,059-04,1,ABDELLAOUI,Fatima,Mme,DXG,Divers extrême gauche
2964,059-04,2,MONTEUX,Frédéric,M.,DSV,Droite souverainiste
2965,059-04,3,PLANCKE,Patricia,Mme,RN,Rassemblement National
2966,059-04,4,BOULLET,Gauthier,M.,ECO,Ecologistes
2967,059-04,5,GAMBIRASIO,Georgia,Mme,DVC,Divers centre
2968,059-04,6,HOUSSIN,Jacques,M.,DVD,Divers droite
2969,059-04,7,DESBOIS,Claire,Mme,DIV,Divers
2970,059-04,8,JARDIN,Patrick,M.,REC,Reconquête !
2971,059-04,9,LEBLANC,Sébastien,M.,LR,Les Républicains
2972,059-04,10,GAVARD,Ewann,M.,DIV,Divers
2973,059-04,11,DELEPIERE,Octave,M.,ECO,Ecologistes
2974,059-04,12,LISO,Brigitte,Mme,ENS,Ensemble ! (Majorité présidentielle)
2975,059-05,1,CATTEAU,Victor,M.,RN,Rassemblement National
2976,059-05,2,STOFFEL,Manon,Mme,ECO,Ecologistes
2977,059-05,3,CAUDERLIER,Frédéric,M.,ENS,Ensemble ! (Majorité présidentielle)
2978,059-05,4,DELNESTE,Ophélie,Mme,FI,La France Insoumise
2979,059-05,5,DENNEQUIN,Pierrick,M.,DSV,Droite souverainiste
2980,059-05,6,SION,Hugues,M.,REC,Reconquête !
2981,059-05,7,HUYGHE,Sébastien,M.,LR,Les Républicains
2982,059-05,8,DUBOIS,Luc,M.,DXG,Divers extrême gauche
2983,059-06,1,ROLLAND,Thierry,M.,DVD,Divers droite
2984,059-06,2,PEREIRA,Célia,Mme,FI,La France Insoumise
2985,059-06,3,FOUTRY,Luc,M.,LR,Les Républicains
2986,059-06,4,DEMEESTER,André,M.,REC,Reconquête !
2987,059-06,5,FENAIN,Virginie,Mme,RN,Rassemblement National
2988,059-06,6,BARREZ,Frédéric,M.,DXG,Divers extrême gauche
2989,059-06,7,LABRE,Vanessa,Mme,ECO,Ecologistes
2990,059-06,8,FABER-ROSSI,Maryse,Mme,RDG,Parti radical de gauche
2991,059-06,9,LELEU,Delphine,Mme,DSV,Droite souverainiste
2992,059-06,10,PARMENTIER-LECOCQ,Charlotte,Mme,ENS,Ensemble ! (Majorité présidentielle)
2993,059-07,1,BICHON,Jeyan,Mme,ECO,Ecologistes
2994,059-07,2,LECONTE DUCHANGE,Mathilde,Mme,REC,Reconquête !
2995,059-07,3,SCHUURMAN,Nicolas,M.,DXG,Divers extrême gauche
2996,059-07,4,SAVIO,Nelly,Mme,DVC,Divers centre
2997,059-07,5,HOUCKE,Charlotte,Mme,DSV,Droite souverainiste
2998,059-07,6,CHOUIA,Karima,Mme,ECO,Ecologistes
2999,059-07,7,WILLEM,Jean-Sébastien,M.,RN,Rassemblement National
3000,059-07,8,GÉRARD,Félicie,Mme,ENS,Ensemble ! (Majorité présidentielle)
3001,059-07,9,SIX,Valérie,Mme,UDI,Union des Démocrates et des Indépendants
3002,059-08,1,SAHRAOUI,Rachida,Mme,RN,Rassemblement National
3003,059-08,2,DELBARRE,Françoise,Mme,DXG,Divers extrême gauche
3004,059-08,3,GUIRAUD,David,M.,FI,La France Insoumise
3005,059-08,4,VERMEERSCH,Christian,M.,ECO,Ecologistes
3006,059-08,5,ELBAHI,Amine,M.,LR,Les Républicains
3007,059-08,6,TANDONNET,Samuel,M.,DIV,Divers
3008,059-08,7,VERLANDE,Lisa,Mme,REC,Reconquête !
3009,059-08,8,PACO,Aymeric,M.,DVC,Divers centre
3010,059-08,9,OSSON,Catherine,Mme,ENS,Ensemble ! (Majorité présidentielle)
3011,059-08,10,CAMERLYNCK,Maël,M.,DSV,Droite souverainiste
3012,059-09,1,SARAZIN,Chantal,Mme,DXG,Divers extrême gauche
3013,059-09,2,VIDAL-SAGNIER,Odile,Mme,ECO,Ecologistes
3014,059-09,3,CLAVEL,Carla,Mme,DSV,Droite souverainiste
3015,059-09,4,LANDRU,Christine,Mme,RN,Rassemblement National
3016,059-09,5,LETURQUE,Laurent,M.,ECO,Ecologistes
3017,059-09,6,GALERA,Eric,M.,DIV,Divers
3018,059-09,7,GODDYN,Sylvie,Mme,REC,Reconquête !
3019,059-09,8,PAPIACHVILI,Nicolas,M.,LR,Les Républicains
3020,059-09,9,SPILLEBOUT,Violette,Mme,ENS,Ensemble ! (Majorité présidentielle)
3021,059-10,1,VAN GANSEN,Romain,M.,ECO,Ecologistes
3022,059-10,2,GARCIA,Jérôme,M.,LR,Les Républicains
3023,059-10,3,BLEUZÉ,Louis,M.,REC,Reconquête !
3024,059-10,4,DARMANIN,Gérald,M.,ENS,Ensemble ! (Majorité présidentielle)
3025,059-10,5,LEUCHI,Oueb,M.,ECO,Ecologistes
3026,059-10,6,BRAZON,Marcellin,M.,DVD,Divers droite
3027,059-10,7,CHARLON,Christophe,M.,DXG,Divers extrême gauche
3028,059-10,8,MORTREUX,Leslie,M.,FI,La France Insoumise
3029,059-10,9,DUMORTIER,Valérie,Mme,DSV,Droite souverainiste
3030,059-10,10,D'HONT,Mélanie,Mme,RN,Rassemblement National
3031,059-11,1,PIETRASZEWSKI,Laurent,M.,ENS,Ensemble ! (Majorité présidentielle)
3032,059-11,2,CHERPIN,Priscilla,M.,ECO,Ecologistes
3033,059-11,3,PLOUY,Michel,M.,LR,Les Républicains
3034,059-11,4,GOUDENHOOFT,Sophie,Mme,ECO,Ecologistes
3035,059-11,5,BAILLEUL,Carole,Mme,DXG,Divers extrême gauche
3036,059-11,6,MOULIN,Maxime,M.,RN,Rassemblement National
3037,059-11,7,CASTERMAN,Eddy,M.,REC,Reconquête !
3038,059-11,8,GOLLET MURET,Pascal,M.,DSV,Droite souverainiste
3039,059-11,9,FIEY,Sebastien,M.,DVD,Divers droite
3040,059-11,10,VICOT,Roger,M.,SOC,Parti socialiste
3041,059-12,1,FLAHAUT,Simon,M.,REC,Reconquête !
3042,059-12,2,YAHIATENE,Malik,M.,FI,La France Insoumise
3043,059-12,3,LEHRHAUPT,Laurent,M.,DXG,Divers extrême gauche
3044,059-12,4,TAVERNE,Michaël,M.,RN,Rassemblement National
3045,059-12,5,DUPONT,Claude,M.,LR,Les Républicains
3046,059-12,6,DENIS,Geoffrey,M.,DSV,Droite souverainiste
3047,059-12,7,LUSSIEZ,Ludovic,M.,DVD,Divers droite
3048,059-12,8,PAMART,Grégory,M.,DIV,Divers
3049,059-12,9,CATTELOT,Anne Laure,Mme,ENS,Ensemble ! (Majorité présidentielle)
3050,059-13,1,DE MIRIBEL,Véronique,Mme,LR,Les Républicains
3051,059-13,2,BÉZINE,Clément,M.,DXG,Divers extrême gauche
3052,059-13,3,PELTIER,Alexis,M.,ECO,Ecologistes
3053,059-13,4,MADELAINE,Eugénie,Mme,REC,Reconquête !
3054,059-13,5,LACROIX,Damien,M.,FI,La France Insoumise
3055,059-13,6,MENNEBOO,Maeva,Mme,DIV,Divers
3056,059-13,7,DUVAL,Yohann,M.,RN,Rassemblement National
3057,059-13,8,DECODTS,Christine,Mme,ENS,Ensemble ! (Majorité présidentielle)
3058,059-14,1,MAERTEN,Eric,M.,REC,Reconquête !
3059,059-14,2,LÉVECQ,Guillaume,M.,DSV,Droite souverainiste
3060,059-14,3,CUVELIER,Pierrette,Mme,RN,Rassemblement National
3061,059-14,4,HEYMAN,Philippine,Mme,FI,La France Insoumise
3062,059-14,5,GONZALEZ,Pierre,M.,DVG,Divers gauche
3063,059-14,6,DESRAYAUD,Sandrine,Mme,DXG,Divers extrême gauche
3064,059-14,7,CHRISTOPHE,Paul,M.,ENS,Ensemble ! (Majorité présidentielle)
3065,059-14,8,DEVOS,Frédéric,M.,LR,Les Républicains
3066,059-14,9,BÉAGUE,Frédéric,M.,ECO,Ecologistes
3067,059-15,1,ABADIE,Anne,Mme,DVD,Divers droite
3068,059-15,2,PERCHE,Anne-Lise,Mme,DSV,Droite souverainiste
3069,059-15,3,LANDTSHEERE,Caroline,Mme,DVD,Divers droite
3070,059-15,4,DIEUSAERT,Stephane,M.,LR,Les Républicains
3071,059-15,5,DENEUCHE,Marc,M.,DVC,Divers centre
3072,059-15,6,LEDEZ,Stéphane,M.,DVC,Divers centre
3073,059-15,7,BERTELOOT,Pierrick,M.,RN,Rassemblement National
3074,059-15,8,LAMÉRANT,Gaétan,M.,ECO,Ecologistes
3075,059-15,9,NICOLET,Claude,M.,ENS,Ensemble ! (Majorité présidentielle)
3076,059-15,10,DUYCK,Joël,M.,DVD,Divers droite
3077,059-15,11,DUCOURANT,Emilie,Mme,ECO,Ecologistes
3078,059-15,12,DARQUES,Jérôme,M.,DVD,Divers droite
3079,059-15,13,LELEU,Aurélie,Mme,REC,Reconquête !
3080,059-15,14,DUBIEZ,Benjamin,M.,DXG,Divers extrême gauche
3081,059-16,1,STATHOULIAS,Antoine,M.,ECO,Ecologistes
3082,059-16,2,RYBAK,Chantal,Mme,ENS,Ensemble ! (Majorité présidentielle)
3083,059-16,3,BRUNEEL,Alain,M.,COM,Parti communiste français
3084,059-16,4,MARCHIO,Matthieu,M.,RN,Rassemblement National
3085,059-16,5,DORCHIES,Mady,Mme,LR,Les Républicains
3086,059-16,6,ZAGACKI,Delphine,Mme,RDG,Parti radical de gauche
3087,059-16,7,PECQUEUR,Éric,M.,DXG,Divers extrême gauche
3088,059-16,8,ADRIENCENSE,Tanneguy,M.,REC,Reconquête !
3089,059-17,1,DELANNOY,Christian,M.,DXG,Divers extrême gauche
3090,059-17,2,MAMAN,Isabelle,Mme,ECO,Ecologistes
3091,059-17,3,GRANDIN,Cyril,M.,FI,La France Insoumise
3092,059-17,4,NORREEL,Valérie,Mme,REC,Reconquête !
3093,059-17,5,GARAUD,Dominique,Mme,DVD,Divers droite
3094,059-17,6,FRANCOIS,Thibaut,M.,RN,Rassemblement National
3095,059-17,7,FLUCKIGER,Cédric,M.,DXG,Divers extrême gauche
3096,059-17,8,BRUNI,Thibault,M.,DSV,Droite souverainiste
3097,059-17,9,BOULANT,Romain,M.,UDI,Union des Démocrates et des Indépendants
3098,059-17,10,HOUBRON,Dimitri,M.,ENS,Ensemble ! (Majorité présidentielle)
3099,059-17,11,T'HOOFT,Marion,Mme,RDG,Parti radical de gauche
3100,059-17,12,FRYDMAN,Jean-Luc,M.,DIV,Divers
3101,059-18,1,BRICOUT,Guy,M.,UDI,Union des Démocrates et des Indépendants
3102,059-18,2,MARÉCHAL,Stéphanie,Mme,FI,La France Insoumise
3103,059-18,3,PHILIPPE,Gérard,M.,REC,Reconquête !
3104,059-18,4,VILLAIN,Pierre-Antoine,M.,DVD,Divers droite
3105,059-18,5,DOLAY,Aurélien,M.,ECO,Ecologistes
3106,059-18,6,LOYEZ,Philippe,M.,ENS,Ensemble ! (Majorité présidentielle)
3107,059-18,7,DISDIER,Mélanie,Mme,RN,Rassemblement National
3108,059-18,8,REYNAERT,Nadine,Mme,DXG,Divers extrême gauche
3109,059-19,1,SOLOCH,Patrick,M.,COM,Parti communiste français
3110,059-19,2,BOURLET,Cécile,Mme,DXG,Divers extrême gauche
3111,059-19,3,DRICI,Djemi,M.,DVC,Divers centre
3112,059-19,4,TROIA,Christine,Mme,REC,Reconquête !
3113,059-19,5,CHENU,Sébastien,M.,RN,Rassemblement National
3114,059-19,6,RACZKIEWICZ,Bruno,M.,UDI,Union des Démocrates et des Indépendants
3115,059-19,7,CHERRIER,Emmanuel,M.,ENS,Ensemble ! (Majorité présidentielle)
3116,059-19,8,DUQUENNE,Vincent,M.,ECO,Ecologistes
3117,059-20,1,PATEL,Rudy,M.,ECO,Ecologistes
3118,059-20,2,LASSERRE,Béatrice,Mme,REC,Reconquête !
3119,059-20,3,HUON,Monique,Mme,DVD,Divers droite
3120,059-20,4,FLORQUIN,Guillaume,M.,RN,Rassemblement National
3121,059-20,5,ROUSSEL,Fabien,M.,COM,Parti communiste français
3122,059-20,6,MOZDZIERZ,Dimitri,M.,DXG,Divers extrême gauche
3123,059-20,7,ALEXANDRE,Delphine,Mme,ENS,Ensemble ! (Majorité présidentielle)
3124,059-20,8,DUQUESNE,Bruno,M.,RDG,Parti radical de gauche
3125,059-20,9,RENAUD,Éric,M.,DVG,Divers gauche
3126,059-21,1,WEISSHAUPT,Edith,Mme,DXG,Divers extrême gauche
3127,059-21,2,AUBRY,Ludovic,M.,ECO,Ecologistes
3128,059-21,3,DESCAMPS,Béatrice,Mme,DVD,Divers droite
3129,059-21,4,SERRALTA,Elisabeth,Mme,DSV,Droite souverainiste
3130,059-21,5,LASSELIN,Laurent,M.,DVD,Divers droite
3131,059-21,6,LAIRÉ,Corinne,Mme,REC,Reconquête !
3132,059-21,7,TROADEC,Luce,Mme,FI,La France Insoumise
3133,059-21,8,VALENTIN,Océane,Mme,RN,Rassemblement National
3134,060-01,1,LUNDY,Roxane,Mme,DVG,Divers gauche
3135,060-01,2,JOLY,Aurélie,Mme,ENS,Ensemble ! (Majorité présidentielle)
3136,060-01,3,LEBOUCHER,Jimmy,M.,DSV,Droite souverainiste
3137,060-01,4,MAGNIER,David,M.,RN,Rassemblement National
3138,060-01,5,CAVELIER,Lucien,M.,ECO,Ecologistes
3139,060-01,6,FRUITIER,Jean-Philippe,M.,DXG,Divers extrême gauche
3140,060-01,7,DEPRESLES,Norbert,M.,REC,Reconquête !
3141,060-01,8,HABERT-DASSAULT,Victor,M.,LR,Les Républicains
3142,060-01,9,LATRASSE,Axelle,Mme,ECO,Ecologistes
3143,060-02,1,REGNIER,Bastien,M.,DSV,Droite souverainiste
3144,060-02,2,CERVANTES,Guillaume,M.,DVG,Divers gauche
3145,060-02,3,FOUGERE,Benjamin,M.,REC,Reconquête !
3146,060-02,4,LEPERRE-VERRIER,Odile,Mme,RDG,Parti radical de gauche
3147,060-02,5,PREVOT,Annick,Mme,FI,La France Insoumise
3148,060-02,6,BALLARD,Philippe,M.,RN,Rassemblement National
3149,060-02,7,HERBANNE,Chanez,Mme,ENS,Ensemble ! (Majorité présidentielle)
3150,060-02,8,THILL,Agnès,Mme,UDI,Union des Démocrates et des Indépendants
3151,060-02,9,POTCHTOVIK,Renée,Mme,DXG,Divers extrême gauche
3152,060-02,10,ROLS,Didier,M.,ECO,Ecologistes
3153,060-02,11,EL AIYATE,Mohamed,M.,ECO,Ecologistes
3154,060-02,12,LAGHRARI,Mohrad,M.,DVC,Divers centre
3155,060-02,13,CASTANIÉ,Ludovic,M.,DVD,Divers droite
3156,060-03,1,BOIS,Pascal,M.,ENS,Ensemble ! (Majorité présidentielle)
3157,060-03,2,ROUSSEL,Julie,Mme,REC,Reconquête !
3158,060-03,3,DIETRICH,Christophe,M.,LR,Les Républicains
3159,060-03,4,GRELA,Viridiana,Mme,DSV,Droite souverainiste
3160,060-03,5,LUCAS,Johann,M.,DVG,Divers gauche
3161,060-03,6,BOUILLY GERONIMI,Maxime,M.,ECO,Ecologistes
3162,060-03,7,SZPIRKO,Roland,M.,DXG,Divers extrême gauche
3163,060-03,8,SABATOU,Alexandre,M.,RN,Rassemblement National
3164,060-03,9,LABATUT,Valérie,Mme,FI,La France Insoumise
3165,060-04,1,FABRE,Frédéric,M.,DXD,Divers extrême droite
3166,060-04,2,DA SILVA MOREIRA,Pierre,M.,DSV,Droite souverainiste
3167,060-04,3,DUMONTIER,Arnaud,M.,LR,Les Républicains
3168,060-04,4,LANDWERLIN,Loïc,M.,DSV,Droite souverainiste
3169,060-04,5,WOERTH,Eric,M.,ENS,Ensemble ! (Majorité présidentielle)
3170,060-04,6,MEESCHAERT,Laurent,M.,REC,Reconquête !
3171,060-04,7,HAVEZ,Audrey,Mme,RN,Rassemblement National
3172,060-04,8,NGABISSIO,Noël,M.,ECO,Ecologistes
3173,060-04,9,DASINI,Caroline,Mme,DXG,Divers extrême gauche
3174,060-04,10,BEDOSSA,Thierry,M.,ECO,Ecologistes
3175,060-04,11,BASSINOT,Xavier,M.,DVD,Divers droite
3176,060-04,12,ASSAMTI,Mohamed,M.,FI,La France Insoumise
3177,060-04,13,REYNAL,Sophie,Mme,DVC,Divers centre
3178,060-05,1,BECHERINI,Hélène,Mme,DXG,Divers extrême gauche
3179,060-05,2,LAMZOUDI,Myriam,Mme,RN,Rassemblement National
3180,060-05,3,BLANCHARD,Luc,M.,ECO,Ecologistes
3181,060-05,4,VATIN,Pierre,M.,LR,Les Républicains
3182,060-05,5,HARRAY COHEN,Régine,Mme,ECO,Ecologistes
3183,060-05,6,FERNANDES,Augusto,M.,DSV,Droite souverainiste
3184,060-05,7,LANGLOIS-MEURINNE,Clary,Mme,REC,Reconquête !
3185,060-05,8,DIOT,Etienne,M.,ENS,Ensemble ! (Majorité présidentielle)
3186,060-06,1,ROGEZ,Véronique,Mme,DSV,Droite souverainiste
3187,060-06,2,ESCHERICH,Elisa,Mme,ECO,Ecologistes
3188,060-06,3,FONTAINE,Anne-Sophie,Mme,LR,Les Républicains
3189,060-06,4,IMBERT,Guy-Eric,M.,REC,Reconquête !
3190,060-06,5,IUNG,Nicole,Mme,ECO,Ecologistes
3191,060-06,6,GUINIOT,Michel,M.,RN,Rassemblement National
3192,060-06,7,ISKIN,Jean-Marc,M.,DXG,Divers extrême gauche
3193,060-06,8,BUREAU-BONNARD,Carole,Mme,ENS,Ensemble ! (Majorité présidentielle)
3194,060-06,9,DUMOULIN,Florian,M.,SOC,Parti socialiste
3195,060-06,10,MAB-BREKIESZ,Marc-Antoine,M.,DVD,Divers droite
