id,circonscription,numPanneau,nom,prenom,civilite,codeNuance,libelleNuance
218,006-05,4,BRENIER-OHANESSIAN,Marine,Mme,ENS,Ensemble ! (Majorité présidentielle)
219,006-05,5,KHALIFA,Frank,M.,RN,Rassemblement National
220,006-05,6,D'INTORNI,Christelle,Mme,LR,Les Républicains
221,006-05,7,BENKEMOUN,Agnès,Mme,DXG,Divers extrême gauche
222,006-05,8,BENASSAYA,Philippe,M.,ECO,Ecologistes
223,006-05,9,MAIYÉ,Géraldine,Mme,ECO,Ecologistes
224,006-05,10,SPACH,J.C Wahid,M.,DIV,Divers
225,006-06,1,BARTOLI,Daniele,Mme,DXG,Divers extrême gauche
226,006-06,2,TRASTOUR-ISNART,Laurence,Mme,LR,Les Républicains
227,006-06,3,TOUZEAU-MENONI,Philippe,M.,DVC,Divers centre
228,006-06,4,MAZZELLA,Nicole,Mme,FI,La France Insoumise
229,006-06,5,LOUVEZ,Philippe,M.,DSV,Droite souverainiste
230,006-06,6,MION,Jean-Bernard,M.,ENS,Ensemble ! (Majorité présidentielle)
231,006-06,7,ROBIONY,Philippe,M.,ECO,Ecologistes
232,006-06,8,MASSON,Bryan,M.,RN,Rassemblement National
