dep,nom_dep,code_circo,00,prenom,nom,sexe,code_nuance,nuance,id,prenom,nom,sexe,sortante,circonscription,parti,checked,lien,twitter,
002,Aisne,002-04,06,Marc,DELATTE,homme,ENS,Ensemble ! (Majorité présidentielle),5667,Marc,Delatte,homme,,002-04,LRM,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/investis_vague3-ddef82222c9a44b0b69d459d788e9dec.pdf,,
002,Aisne,002-04,07,Damien,CRÉON,homme,DSV,Droite souverainiste,,,,,,,,,,,
002,Aisne,002-05,01,Francis,GARCIA,homme,DXG,Divers extrême gauche,8447,Francis,Garcia,homme,,002-05,LO,,https://www.lutte-ouvriere.org/legislatives,,
002,Aisne,002-05,02,Sébastien,EUGÈNE,homme,DVC,Divers centre,,,,,,,,,,,
002,Aisne,002-05,03,Jeanne,ROUSSEL,femme,ENS,Ensemble ! (Majorité présidentielle),7589,Jeanne,Doyez-Roussel,femme,,002-05,LRM,,https://nos-candidats.avecvous.fr/wp-content/uploads/2022/05/Dossier-de-Presse.pdf,,
002,Aisne,002-05,04,Jocelyn,DESSIGNY,homme,RN,Rassemblement National,5671,Jocelyn,Dessigny,homme,,002-05,RN,,https://www.aisnenouvelle.fr/id303642/article/2022-05-05/voici-les-cinq-candidats-du-rassemblement-national-dans-laisne,,
002,Aisne,002-05,05,Florence,TRIBOULET,femme,REC,Reconquête !,,,,,,,,,,,
002,Aisne,002-05,06,Françoise,VACCA,femme,ECO,Ecologistes,5670,Françoise,Vacca,femme,,002-05,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,,
002,Aisne,002-05,07,Stéphane,FRERE,homme,FI,La France Insoumise,5672,Stéphane,Frère,homme,,002-05,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,,
002,Aisne,002-05,08,Joffrey,BOLLÉE,homme,DSV,Droite souverainiste,,,,,,,,,,,
002,Aisne,002-05,09,Jade,GILQUIN,femme,LR,Les Républicains,5669,Jade,Gilquin,femme,,002-05,LR,,https://republicains.fr/actualites/2021/12/09/decision-de-la-commission-nationale-dinvestiture-3/,,
002,Corse-du-Sud,02A-01,01,David,QUINTELA,homme,REC,Reconquête !,,,,,,,,,,,
002,Corse-du-Sud,02A-01,02,Walter,LIPPLER,homme,DSV,Droite souverainiste,,,,,,,,,,,
002,Corse-du-Sud,02A-01,03,Michel,MOZZICONACCI,homme,DVC,Divers centre,,,,,,,,,,,
002,Corse-du-Sud,02A-01,04,Robin,DE MARI,homme,FI,La France Insoumise,,,,,,,,,,,
002,Corse-du-Sud,02A-01,05,Jean-Paul,CARROLAGGI,homme,REG,Régionaliste,,,,,,,,,,,
002,Corse-du-Sud,02A-01,06,Angélique,SUSINI,femme,SOC,Parti socialiste,9242,Angélique,Suisini,femme,,02A-01,PS,,,,
002,Corse-du-Sud,02A-01,07,Laurent,MARCANGELI,homme,ENS,Ensemble ! (Majorité présidentielle),6045,Laurent,Marcangeli,homme,,02A-01,LRM/Horizons,,https://horizonsleparti.fr/candidats/,,
002,Corse-du-Sud,02A-01,08,Anissa-Flore,AMZIANE,femme,COM,Parti communiste français,,,,,,,,,,,
002,Corse-du-Sud,02A-01,09,Romain,COLONNA,homme,REG,Régionaliste,,,,,,,,,,,
002,Corse-du-Sud,02A-01,10,Nathaly,ANTONA,femme,RN,Rassemblement National,7713,Nathaly,Antona (Nicolai),femme,,02A-01,RN,,https://www.corsenetinfos.corsica/Nathaly-Antona-Nous-avons-un-projet-complet-coherent-et-adapte-pour-faire-le-bonheur-des-Corses_a64478.html,,
002,Corse-du-Sud,02A-01,11,Pascale,BIZZARI,femme,ECO,Ecologistes,,,,,,,,,,,
002,Corse-du-Sud,02A-01,12,Claire,LAINEZ,femme,DXG,Divers extrême gauche,8518,Claire,Lainez,femme,,02A-01,LO,,https://www.lutte-ouvriere.org/legislatives,,
002,Corse-du-Sud,02A-02,01,Yves,NICOLAI,homme,ECO,Ecologistes,,,,,,,,,,,
002,Corse-du-Sud,02A-02,02,Yves,DAÏEN,homme,DXG,Divers extrême gauche,8519,Yves,Daïen,homme,,02A-02,LO,,https://www.lutte-ouvriere.org/legislatives,,
002,Corse-du-Sud,02A-02,03,Olivier,BATTISTINI,homme,REC,Reconquête !,,,,,,,,,,,
002,Corse-du-Sud,02A-02,04,Paul-André,COLOMBANI,homme,REG,Régionaliste,8419,Paul-André,Colombani,homme,checked,02A-02,Pè a Corsica,,https://www.corsematin.com/articles/legislatives-2e-circonscription-de-corse-du-sud-colombani-transformer-lessai-125073,,
002,Corse-du-Sud,02A-02,05,Ghislaine,SALMAT,femme,SOC,Parti socialiste,9241,Ghislaine,Salmat,femme,,02A-02,PS,,,,
002,Corse-du-Sud,02A-02,06,Pierre-Ange,MUSELLI-COLONNA,homme,COM,Parti communiste français,,,,,,,,,,,
002,Corse-du-Sud,02A-02,07,François,FILONI,homme,RN,Rassemblement National,7715,François,Filoni,homme,,02A-02,RN,,https://www.corsenetinfos.corsica/Francois-Filoni-Ma-priorite-sera-de-defendre-la-place-de-la-Corse-dans-la-Republique_a64539.html,,
002,Corse-du-Sud,02A-02,08,Vincent Louis,ETTORI,homme,DSV,Droite souverainiste,,,,,,,,,,,
002,Corse-du-Sud,02A-02,09,Dylan,CHAMPEAU,homme,DVG,Divers gauche,,,,,,,,,,,
002,Corse-du-Sud,02A-02,10,Valérie,BOZZI,femme,DVD,Divers droite,,,,,,,,,,,
002,Corse-du-Sud,02A-02,11,Pierre-Paul,PUCCINELLI,homme,REG,Régionaliste,,,,,,,,,,,
002,Haute-Corse,02B-01,01,Julien,MORGANTI,homme,DVC,Divers centre,,,,,,,,,,,
002,Haute-Corse,02B-01,02,Gaël,MAQUET,homme,DIV,Divers,,,,,,,,,,,
002,Haute-Corse,02B-01,03,Jean,LAMBERTI,homme,REC,Reconquête !,,,,,,,,,,,
002,Haute-Corse,02B-01,04,Jean-François,PAOLI,homme,ENS,Ensemble ! (Majorité présidentielle),7580,Jean-François,Paoli,homme,,02B-01,LRM,,https://nos-candidats.avecvous.fr/wp-content/uploads/2022/05/Dossier-de-Presse.pdf,,
002,Haute-Corse,02B-01,05,Michel,CASTELLANI,homme,REG,Régionaliste,8417,Michel,Castellani,homme,checked,02B-01,Femu a Corsica,,https://france3-regions.francetvinfo.fr/corse/haute-corse/elections-legislatives-michel-castellani-officialise-sa-candidature-dans-la-1re-circonscription-de-haute-corse-2539408.html,,
002,Haute-Corse,02B-01,06,Dominique,MAUNY,femme,FI,La France Insoumise,,,,,,,,,,,
002,Haute-Corse,02B-01,07,Olivier,JOSUÉ,homme,DXG,Divers extrême gauche,8520,Olivier,Josué,homme,,02B-01,LO,,https://www.lutte-ouvriere.org/legislatives,,
002,Haute-Corse,02B-01,08,Michel,STAELENS,homme,ECO,Ecologistes,,,,,,,,,,,
002,Haute-Corse,02B-01,09,Alexis,FERNANDEZ,homme,RN,Rassemblement National,7717,Alexis,Fernandez,homme,,02B-01,RN,,https://france3-regions.francetvinfo.fr/corse/legislatives-2022-le-rassemblement-national-presentera-quatre-candidats-en-corse-2537800.html,,
002,Haute-Corse,02B-01,10,Michel,STEFANI,homme,COM,Parti communiste français,,,,,,,,,,,
002,Haute-Corse,02B-01,11,Christine,CETTOUR-LEONI,femme,DSV,Droite souverainiste,,,,,,,,,,,
002,Haute-Corse,02B-01,12,Petru Antone,TOMASI,homme,REG,Régionaliste,,,,,,,,,,,
002,Haute-Corse,02B-02,01,Jean-Félix,ACQUAVIVA,homme,REG,Régionaliste,8418,Jean-Félix,Acquaviva,homme,checked,02B-02,Femu a Corsica,,https://france3-regions.francetvinfo.fr/corse/legislatives-2022-jean-felix-acquaviva-en-lice-pour-un-second-mandat-2535516.html,,
002,Haute-Corse,02B-02,02,François-Xavier,CECCOLI,homme,DVD,Divers droite,,,,,,,,,,,
002,Haute-Corse,02B-02,03,Marie Dominique,SALDUCCI,femme,DSV,Droite souverainiste,,,,,,,,,,,
002,Haute-Corse,02B-02,04,Amélie,RAFFAELLI - FRANCESCHI,femme,COM,Parti communiste français,,,,,,,,,,,
002,Haute-Corse,02B-02,05,.,BARONNE ML MARIANI,femme,DIV,Divers,9400,Baronne,ML Mariani,femme,,02B-02,Parti pirate,,https://partipirate.org/map,,
002,Haute-Corse,02B-02,06,Lionel,MORTINI,homme,REG,Régionaliste,,,,,,,,,,,
002,Haute-Corse,02B-02,07,Viviane,RONGIONE,femme,DXG,Divers extrême gauche,8521,Viviane,Rongione,femme,,02B-02,LO,,https://www.lutte-ouvriere.org/legislatives,,
002,Haute-Corse,02B-02,08,Jean,CARDI,homme,RN,Rassemblement National,7716,Jean,Cardi,homme,,02B-02,RN,,https://france3-regions.francetvinfo.fr/corse/legislatives-2022-le-rassemblement-national-presentera-quatre-candidats-en-corse-2537800.html,,
003,Allier,003-01,01,Marion,SENNEPIN,femme,ECO,Ecologistes,5674,Marion,Sennepin,femme,,003-01,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,,
003,Allier,003-01,02,Marie,CIBERT,femme,RN,Rassemblement National,7637,Viviane,Monnay,femme,,003-01,RN,,https://rassemblementnational.fr/elections-legislatives/,,
003,Allier,003-01,03,Michel,BARBARIN,homme,ENS,Ensemble ! (Majorité présidentielle),5675,Michel,Barbarin,homme,,003-01,LRM,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/investis_vague3-ddef82222c9a44b0b69d459d788e9dec.pdf,,
003,Allier,003-01,04,Jean,MALLOT,homme,DVG,Divers gauche,,,,,,,,,,,
003,Allier,003-01,05,Jean-Marc,COLLOT,homme,DXG,Divers extrême gauche,8448,Jean-Marc,Collot,homme,,003-01,LO,,https://www.lutte-ouvriere.org/legislatives,,
003,Allier,003-01,06,Pierre,DE NICOLAY,homme,REC,Reconquête !,,,,,,,,,,,
003,Allier,003-01,07,Fabien,MALAVAUD,homme,DVD,Divers droite,,,,,,,,,,,
003,Allier,003-01,08,Roger,LITAUDON,homme,LR,Les Républicains,,,,,,,,,,,
003,Allier,003-01,09,Yannick,MONNET,homme,COM,Parti communiste français,5676,Yannick,Monnet,homme,,003-01,PCF,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/tableau-circos-pcf-accord-nupes-7397ac805b5f4340a7ae16bd3c875949.pdf,https://twitter.com/YannickMonnet3,
003,Allier,003-02,01,Samir,TRIKI,homme,DVC,Divers centre,,,,,,,,,,,
003,Allier,003-02,02,Jean-Jacques,KEGELART,homme,LR,Les Républicains,5677,Jean-Jacques,Kegelart,homme,,003-02,LR,,https://republicains.fr/actualites/2021/12/17/decision-de-la-commission-nationale-dinvestiture-4/,,
003,Allier,003-02,03,Christophe,AFFRAIX,homme,DSV,Droite souverainiste,,,,,,,,,,,
003,Allier,003-02,04,Axelle,DE NICOLAY,femme,REC,Reconquête !,,,,,,,,,,,
